full_text,word_idx,word,logprob
jumping off building with hands in the air,0,jumping,-15.394176006317139
jumping off building with hands in the air,1,off,-3.70449161529541
jumping off building with hands in the air,2,building,-7.58481502532959
jumping off building with hands in the air,3,with,-4.393434524536133
jumping off building with hands in the air,4,hands,-5.664745807647705
jumping off building with hands in the air,5,in,-1.999003291130066
jumping off building with hands in the air,6,the,-1.138547658920288
jumping off building with hands in the air,7,air,-0.03898784890770912
like the a high heeled shoe tough one,0,like,-12.462898254394531
like the a high heeled shoe tough one,1,the,-2.3723957538604736
like the a high heeled shoe tough one,2,a,-7.469916820526123
like the a high heeled shoe tough one,3,high,-8.260868072509766
like the a high heeled shoe tough one,4,heeled,-7.2248785719275475
like the a high heeled shoe tough one,5,shoe,-0.9290305376052856
like the a high heeled shoe tough one,6,tough,-11.50359058380127
like the a high heeled shoe tough one,7,one,-6.415768623352051
no arms not legs like a necktie with the bottom turned slightly to the right,0,no,-11.181648254394531
no arms not legs like a necktie with the bottom turned slightly to the right,1,arms,-10.400352478027344
no arms not legs like a necktie with the bottom turned slightly to the right,2,not,-7.1457109451293945
no arms not legs like a necktie with the bottom turned slightly to the right,3,legs,-1.0802472829818726
no arms not legs like a necktie with the bottom turned slightly to the right,4,like,-7.9243340492248535
no arms not legs like a necktie with the bottom turned slightly to the right,5,a,-2.4461164474487305
no arms not legs like a necktie with the bottom turned slightly to the right,6,necktie,-13.865630149841309
no arms not legs like a necktie with the bottom turned slightly to the right,7,with,-4.498262405395508
no arms not legs like a necktie with the bottom turned slightly to the right,8,the,-2.8940622806549072
no arms not legs like a necktie with the bottom turned slightly to the right,9,bottom,-5.35003662109375
no arms not legs like a necktie with the bottom turned slightly to the right,10,turned,-5.784314155578613
no arms not legs like a necktie with the bottom turned slightly to the right,11,slightly,-7.558228492736816
no arms not legs like a necktie with the bottom turned slightly to the right,12,to,-2.4223079681396484
no arms not legs like a necktie with the bottom turned slightly to the right,13,the,-0.2862429618835449
no arms not legs like a necktie with the bottom turned slightly to the right,14,right,-1.1939773559570312
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,0,like,-12.462898254394531
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,1,a,-2.0598957538604736
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,2,baby,-5.678623676300049
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,3,sitting,-6.528956890106201
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,4,on,-1.003732681274414
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,5,floor,-8.401848793029785
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,6,with,-3.013883352279663
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,7,arms,-4.301530361175537
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,8,out,-1.4094679355621338
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,9,and,-3.1088764667510986
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,10,a,-2.696373462677002
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,11,bow,-5.6737470626831055
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,12,on,-1.2326842546463013
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,13,the,-2.9456164836883545
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,14,back,-3.1811482906341553
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,15,of,-1.3367646932601929
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,16,her,-2.4660027027130127
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,17,head,-0.39527323842048645
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,18,she,-6.768057823181152
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,19,is,-1.185522437095642
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,20,facing,-4.481891632080078
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,21,left,-2.6418302059173584
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,22,and,-1.4078994989395142
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,23,the,-2.915569543838501
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,24,bow,-2.3387134075164795
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,25,in,-4.5531768798828125
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,26,on,-2.1252551078796387
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,27,the,-0.8295246958732605
like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right,28,right,-0.6431503295898438
"kneeling in gown with Bible in hand, facing to the right heel up in back",0,kneeling,-17.15237820148468
"kneeling in gown with Bible in hand, facing to the right heel up in back",1,in,-2.6227917671203613
"kneeling in gown with Bible in hand, facing to the right heel up in back",2,gown,-12.01833438873291
"kneeling in gown with Bible in hand, facing to the right heel up in back",3,with,-2.4401168823242188
"kneeling in gown with Bible in hand, facing to the right heel up in back",4,Bible,-5.736759662628174
"kneeling in gown with Bible in hand, facing to the right heel up in back",5,in,-1.5663363933563232
"kneeling in gown with Bible in hand, facing to the right heel up in back",6,"hand,",-3.265065371990204
"kneeling in gown with Bible in hand, facing to the right heel up in back",7,facing,-3.888249397277832
